analysis_id,0x3r43hnzru59p4
parameter_id,IMPC_GEL_057_001
pvalue,0.7520605
mouse_strain,C57BL
gene_symbol,Kdm4c
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
parameter_name,Heart looping
