parameter_name,Eosinophils
gene_symbol,Gfi1b
mouse_strain,C57BL
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
analysis_id,jgnfa0y34324070
parameter_id,IMPC_IMM_052_001
pvalue,0.6116954
