analysis_id,584s84ns02l20lf
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_strain,C52BL
mouse_life_stage,E9.5
gene_symbol,Bcs1l
parameter_id,MGP_PBI_033_001
pvalue,0.6338647
gene_accession_id,MGI:1914071
