parameter_name,Radius
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
gene_symbol,Atrn
pvalue,0.6907975
mouse_strain,C57BL
analysis_id,f2qgusbxs5w00x2
parameter_id,IMPC_XRY_022_001
