analysis_id,p515x4nz0gnr903
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
pvalue,0.258191
parameter_id,MGP_IMM_070_001
parameter_name,Total ab T cells - % of CD45+
