analysis_id,r9c0y33a9xry5uc
mouse_life_stage,Early adult
gene_symbol,Lamb3
parameter_name,Distance travelled - total
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:99915
mouse_strain,C57BL
pvalue,0.1108006
