gene_symbol,Atf3
parameter_id,IMPC_FEA_106_001
gene_accession_id,MGI:109384
analysis_id,73ej4ro0z6m8ugs
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_life_stage,Early adult
pvalue,0.9788846
mouse_strain,C57BL
