analysis_id,788eod0242p3x4x
mouse_strain,C57BL
parameter_name,Center average speed
pvalue,0.1239885
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_017_001
