parameter_name,BMC/Body weight
gene_accession_id,MGI:1913576
parameter_id,HRWLLA_DXA_007_001
pvalue,0.9777817
analysis_id,6no62s7cn51y08y
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
mouse_strain,C57BL
