parameter_name,Distance travelled - total
gene_symbol,Kifap3
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5718697
parameter_id,JAXLA_OFD_020_001
analysis_id,z98p6k9ii1e4q9p
gene_accession_id,MGI:107566
