gene_symbol,Ntmt2
pvalue,0.9430569
parameter_name,B Cells
analysis_id,9pz1kv004t94von
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
mouse_strain,C57BL
