parameter_id,JAX_ROT_002_001
mouse_strain,C57BL
parameter_name,Average duration
gene_symbol,Kdm5b
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
pvalue,0.4710499
analysis_id,52in09e2i6s2me0
