analysis_id,9l7b1p21f52xv01
mouse_life_stage,Early adult
gene_symbol,Gfi1b
parameter_id,IMPC_XRY_025_001
gene_accession_id,MGI:1276578
parameter_name,Tibia
mouse_strain,C57BL
pvalue,0.6883118
