analysis_id,r4t11u7k0d72m70
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Respiration Rate
pvalue,0.7678497
gene_symbol,Psd4
parameter_id,IMPC_ECH_018_001
