gene_symbol,Ifi44
mouse_life_stage,Early adult
pvalue,0.7811931
analysis_id,6jhd0d0j080ez03
parameter_name,PQ
mouse_strain,C57BL
gene_accession_id,MGI:2443016
parameter_id,IMPC_ECG_005_001
