Analysis_id,475s5471hxqf349
Pvalue,0.9473545
Mouse_strain,C57BL
Mouse_life_stage,Early adult
Gene_symbol,Kif24
Gene_accession_id,MGI:1918345
Parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_MLN_063_001
