analysis_id,og92dzg082o6037
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_id,HMGULA_CBC_017_001
parameter_name,Triglycerides
mouse_life_stage,Early adult
pvalue,0.5749033
mouse_strain,C57BL
