parameter_name,Limb grasping
mouse_life_stage,Early adult
pvalue,0.4700816
analysis_id,0t1n9d5101y6m6f
parameter_id,ESLIM_008_001_017
gene_symbol,Steap3
mouse_strain,C57BL
gene_accession_id,MGI:1915678
