analysis_id,g06x393x93639u3
gene_symbol,Lime1
mouse_life_stage,Early adult
pvalue,0.1494461
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_005_001
mouse_strain,C57BL
gene_accession_id,MGI:1919949
