analysis_id,e4g033c6q2c9nhf
gene_symbol,Hpca
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_IPG_011_001
gene_accession_id,MGI:1336200
parameter_name,Initial response to glucose challenge
pvalue,0.1024989
