parameter_name,Radius
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
pvalue,0.2546161
gene_symbol,Zyg11b
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
analysis_id,68496i96iw897q1
