parameter_name,Periphery average speed
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1860103
pvalue,0.2878438
gene_symbol,Slc2a8
analysis_id,s5ko6669da12f27
parameter_id,IMPC_OFD_013_001
