Analysis_id,73043k78dnf2701
mouse_strain,C57BL
mouse_life_stage,Early adult
Parameter_id,MGP_MLN_006_001
Gene_accession_id,MGI:1913483
pvalue,0.7936546
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Dmap1
