parameter_name,Neural tube morphology
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
analysis_id,6n39i407uowf940
parameter_id,IMPC_GEL_060_001
pvalue,0.4706072
