gene_symbol,AHCTF1
gene_accession_id,MGI:1915033
analysis_id,09g918o7xy20fp9
pvalue,0.8368503
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_066_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
