parameter_name,Neutrophil percentage
pvalue,0.09419444
gene_accession_id,MGI:1925049
gene_symbol,Sla2
mouse_strain,C57BL
analysis_id,n24874amu607sn0
parameter_id,MGP_PBI_019_001
mouse_life_stage,Early adult
