analysis_id,y6ohb38aroi62uv
Gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
parameter_id,MGP_MLN_005_001
mouse_strain,C57BL
Pvalue,0.4662971
Mouse_life_stage,Early adult
Parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
