analysis_id,2191709rkt6g901
pvalue,0.719014
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_id,MGP_MLN_013_001
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
