gene_symbol,Ifi44
analysis_id,5la73hwg5gamag2
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:2443016
parameter_name,Weight
pvalue,0.4834285
mouse_strain,C57BL
