parameter_name,% Freezing duration habituation-1
gene_accession_id,MGI:2446186
parameter_id,ICS_FEA_016_001
pvalue,0.9686318
gene_symbol,Lpgat1
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,0366wm0b94q4h08
