analysis_id,qfy1up6hh3r469d
parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:1916222
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9806345
parameter_name,Tremor
gene_symbol,Tatdn3
