gene_symbol,Npbwr1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1788798
parameter_id,JAX_URI_002_001
parameter_name,Creatinine
analysis_id,512dck88h658n91
gene_accession_id,MGI:891989
