gene_symbol,Trpa1
gene_accession_id,MGI:3522699
parameter_name,NK cell number
mouse_strain,C57BL
pvalue,0.7168406
mouse_life_stage,Early adult
analysis_id,56u35jt8f37539x
parameter_id,MGP_PBI_027_001
