analysis_id,1krv66wj37d3y0j
mouse_life_stage,Early adult
parameter_name,Mean cell volume
parameter_id,ESLIM_016_001_005
pvalue,0.1656016
gene_symbol,Exd1
gene_accession_id,MGI:3045306
mouse_strain,C57BL
