analysis_id,60n96gs02441y53
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Limb morphology
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
pvalue,0.3299628
