parameter_id,IMPC_CSD_047_001
gene_symbol,Kif24
parameter_name,Hindlimb digit - size
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
mouse_strain,C57BL
analysis_id,ty1aegj48t50e3c
pvalue,0.7300809
