parameter_name,Weight
analysis_id,55zr400w0i09l01
mouse_strain,C57BL
gene_accession_id,MGI:3588214
parameter_id,CCP_LFO_001_001
mouse_life_stage,Early adult
gene_symbol,Rufy4
pvalue,0.2291626
