gene_symbol,Dnajc5b
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Corneal vascularization
analysis_id,4pg8610i08rahmg
pvalue,0.1449962
gene_accession_id,MGI:1913576
parameter_id,IMPC_EYE_009_001
