analysis_id,fnn4j623545e06z
mouse_life_stage,Middle aged adult
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_009_001
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
pvalue,0.9033365
