parameter_name,HDL-cholesterol
analysis_id,fv23d00ebf28845
parameter_id,IMPC_CBC_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1921442
pvalue,0.1750878
gene_symbol,Arpc5l
