parameter_id,CCP_LFO_001_001
gene_symbol,Car13
mouse_strain,C57BL
analysis_id,061t756y66hf367
mouse_life_stage,Early adult
parameter_name,Weight
gene_accession_id,MGI:1931322
pvalue,0.4337847
