gene_symbol,Nanp
parameter_id,IMPC_HEM_030_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
parameter_name,Neutrophil cell count
pvalue,0.9938492
analysis_id,d7d9249nfb64l0t
