gene_symbol,Mov10
parameter_id,UCD_OWT_008_001
analysis_id,k0av2z8lif6tzzc
parameter_name,Liver weight
mouse_strain,C57BL
pvalue,0.4361435
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
