parameter_name,BMC/Body weight
mouse_strain,C57BL
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
pvalue,0.7502451
analysis_id,lum6zvvry3lc4z9
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_007_001
