analysis_id,si381e55od775sj
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
parameter_name,Periphery resting time
pvalue,0.254469
parameter_id,ESLIM_007_001_007
mouse_life_stage,E9.5
mouse_strain,C57BL
