gene_symbol,Ufc1
mouse_strain,C57BL
pvalue,0.06980355
analysis_id,59m9qinb7kw52ov
gene_accession_id,MGI:1913405
parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
mouse_life_stage,Early adult
