analysis_id,43eze5j7igo2n1s
pvalue,0.2774709
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_002_001
parameter_name,Red blood cell count
