gene_symbol,AU040320
mouse_strain,C57BL
gene_accession_id,MGI:2140475
analysis_id,x6vzh78e6m79onk
mouse_life_stage,Early adult
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
pvalue,0.9744159
