analysis_id,573525o5q06z06p
mouse_life_stage,Early adult
parameter_name,30kHz-evoked ABR Threshold
gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
pvalue,0.1117113
parameter_id,IMPC_ABR_012_001
mouse_strain,C57BL
