parameter_name,Total cholesterol
analysis_id,w83dtuxe8wn12a6
pvalue,0.2744134
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
