analysis_id,7k91te50c56grrb
parameter_id,IMPC_ACS_035_001
mouse_strain,C57BL
pvalue,0.7314832
gene_symbol,CISD2
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
