parameter_name,Zygomatic bone
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2698619
gene_symbol,Trim46
parameter_id,IMPC_XRY_002_001
analysis_id,xo7y6105t55trx1
gene_accession_id,MGI:2673000
