parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924360
parameter_id,MGP_PBI_019_001
gene_symbol,Gpbp1l1
pvalue,0.85917
analysis_id,y1f5352nqk563vy
