parameter_id,MGP_PBI_018_001
analysis_id,d8xssf485exk6e9
gene_accession_id,MGI:1913396
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Maco1
pvalue,0.3877771
parameter_name,Ly6Clow monocyte percentage
