gene_symbol,Wars2
parameter_name,Heart weight
gene_accession_id,MGI:1917810
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HWT_008_001
analysis_id,t72bno57v1723p6
pvalue,0.3638664
