analysis_id,0zx9fhq9wmwq101
mouse_life_stage,Early adult
parameter_name,Hindlimb nail - number
gene_symbol,Exd1
gene_accession_id,MGI:3045306
parameter_id,IMPC_CSD_051_002
mouse_strain,C57BL
pvalue,0.7811182
