parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1336200
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,f193d4c5dt21gz9
gene_symbol,Hpca
pvalue,3.396026e-07
