analysis_id,543tn9j1427711m
parameter_id,IMPC_CBC_018_001
gene_symbol,Secisbp2l
pvalue,0.5259078
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_name,Glucose
