analysis_id,aj9qbyesl95pne1
parameter_id,MGP_IMM_079_001
gene_symbol,Kdm4c
pvalue,0.321475
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
