gene_symbol,Galk2
gene_accession_id,MGI:1917226
mouse_life_stage,Early adult
parameter_name,Skull shape
analysis_id,77241o7k0q6h3g6
pvalue,0.3102404
parameter_id,IMPC_XRY_001_001
mouse_strain,C57BL
