gene_symbol,Atf3
gene_accession_id,MGI:109384
parameter_name,Resting NK cells - % of CD45+
parameter_id,MGP_IMM_100_001
analysis_id,97u37zvnw62b65w
mouse_life_stage,Early adult
pvalue,0.3581969
mouse_strain,C57BL
