analysis_id,aq09a33geqf2285
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
pvalue,0.8875235
parameter_id,JAXLA_DXA_003_001
parameter_name,Lean mass
