analysis_id,8909at4pcx41j4o
gene_accession_id,MGI:105072
pvalue,0.6710278
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_SLW_013_001
gene_symbol,Rab22a
parameter_name,Breath rate during sleep mean
