gene_symbol,Gpbp1l1
mouse_strain,C57BL
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
pvalue,0.2057229
parameter_name,Total NK cells - % of CD45+
analysis_id,8sogx5q6m8ma47x
parameter_id,MGP_MLN_031_001
